datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-05;2025/116;XYLOFUTUR;48537603200036;Aide au fonctionnement;28500;Aide en numéraire;échelonné;2025-05-05 / 2025-11-05;sans objet;non;1.00;2025-05-05;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-07;2025/116;FRENCH TECH BORDEAUX;81831326400033;Aide au fonctionnement;190000;Aide en numéraire;échelonné;2025-05-07 / 2025-11-07;sans objet;non;1.00;2025-05-07;;Autre objet;Entre 100 000€ et 500 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-03-31;2024/292;LE POULAILLER BIO MAJOLAN;90845559500011;Aide à l'investissement FILA 2024;14500;Aide en numéraire;unique;2025-03-31 / 2025-09-30;sans objet;non;1.00;2025-03-31;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-15;2025/116;BDX AQUITAINE INNO VIN;49874718700025;Aide au fonctionnement;38000;Aide en numéraire;échelonné;2025-05-15 / 2025-11-15;sans objet;non;1.00;2025-05-15;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-14;2025/116;AEROSPACE VALLEY;48428452600072;Aide au fonctionnement;103500;Aide en numéraire;échelonné;2025-05-14 / 2025-11-14;sans objet;non;1.00;2025-05-14;;Autre objet;Entre 100 000€ et 500 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-14;2025/123;CAISSE SOCIALE DE DEVELOPPEMENT LOCAL;41900910500018;Aide au fonctionnement;36100;Aide en numéraire;échelonné;2025-05-14 / 2025-11-14;sans objet;non;1.00;2025-05-14;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-13;2025/116;UNITEC;37796404400061;Aide au fonctionnement;133000;Aide en numéraire;échelonné;2025-05-13 / 2025-11-13;sans objet;non;1.00;2025-05-13;;Autre objet;Entre 100 000€ et 500 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-04-28;2025/176;RESTAURANTS DU CŒUR;37954994200025;Aide au fonctionnement;50000;Aide en numéraire;échelonné;2025-04-28 / 2025-10-28;sans objet;non;1.00;2025-04-28;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-04-28;2025/176;SECOURS POPULAIRE;32571979700046;Aide au fonctionnement;50000;Aide en numéraire;échelonné;2025-04-28 / 2025-10-28;sans objet;non;1.00;2025-04-28;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-05;2025/164;MEBA;51779186900012;Aide au fonctionnement;38000;Aide en numéraire;échelonné;2025-05-05 / 2025-11-05;sans objet;non;1.00;2025-05-05;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-14;2025/116;ADI NOUVELLE AQUITAINE;82033673300010;Aide au fonctionnement;47500;Aide en numéraire;échelonné;2025-05-14 / 2025-11-14;sans objet;non;1.00;2025-05-14;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-01-16;2024/670;SYNDIC COPRO RES PARC CAPEYRON;38175727700011;Aide à l'investissement 1M Arbres;3332;Aide en numéraire;échelonné;2025-01-16 / 2025-07-16;sans objet;non;1.00;2025-01-16;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-07;2025/117;MAISON DE L'EMPLOI, INSERTION ECONOMIQUE ET ENTREPRISE;49058526200069;Aide au fonctionnement;23750;Aide en numéraire;échelonné;2025-05-07 / 2025-11-07;sans objet;non;1.00;2025-05-07;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-06-04;2025/147;CREAC DE BEGLES;37809063300017;Aide au fonctionnement;47500;Aide en numéraire;échelonné;2025-06-04 / 2025-12-04;sans objet;non;1.00;2025-06-04;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-03-31;2024/292;SERVI EN LOCAL;85306916900029;Aide à l'investissement - AAP FICCP 2024;15000;Aide en numéraire;échelonné;2025-03-31 / 2025-09-30;sans objet;non;1.00;2025-03-31;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-05-26;2024/98;AQUITANIS;39873148900033;Aide à l'investissement 1M Arbres;76388;Aide en numéraire;échelonné;2025-05-26 / 2025-11-26;sans objet;non;1.00;2025-05-26;;Autre objet;Entre 30 000€ et 100 000€
